Pair of consecutive graphs,Node,Type,Residual value
g0_g1,37,black_hole,192
g0_g1,74,black_hole,153
g0_g1,17,normal,64
g0_g1,3,normal,39
g0_g1,61,normal,30
g0_g1,79,normal,28
g0_g1,100,normal,28
g0_g1,178,black_hole,27
g0_g1,177,normal,25
g0_g1,46,normal,24
g1_g2,49,black_hole,136
g1_g2,192,black_hole,89
g1_g2,193,normal,31
g1_g2,177,normal,30
g1_g2,125,normal,25
g1_g2,137,normal,19
g1_g2,122,normal,18
g1_g2,128,normal,18
g1_g2,180,normal,17
g1_g2,9,normal,17
g2_g3,39,normal,26
g2_g3,148,normal,25
g2_g3,191,normal,14
g2_g3,96,black_hole,11
g2_g3,109,normal,10
g2_g3,107,normal,1
g2_g3,138,normal,1
g2_g3,181,normal,1
g2_g3,196,normal,1
g2_g3,5,normal,1
