node_id,type,degree,indegree,outdegree,degree_centrality,degree_rank
0,normal,36,14,22,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
1,normal,34,26,8,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
2,normal,31,16,15,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
3,normal,32,14,18,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
4,normal,30,17,13,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
5,normal,30,18,12,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
6,normal,36,18,18,"{'type': 'normal', 'degree': 0.18090452261306533}",23.0
7,normal,27,16,11,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
8,normal,29,14,15,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
9,normal,29,10,19,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
10,normal,26,12,14,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
11,normal,22,13,9,"{'type': 'normal', 'degree': 0.11055276381909548}",178.0
12,normal,27,10,17,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
13,normal,32,19,13,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
14,normal,28,14,14,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
15,normal,24,11,13,"{'type': 'normal', 'degree': 0.12060301507537688}",169.0
16,normal,32,19,13,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
17,normal,32,19,13,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
18,normal,32,21,11,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
19,normal,26,15,11,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
20,normal,32,17,15,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
21,normal,34,17,17,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
22,normal,27,12,15,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
23,normal,34,19,15,"{'type': 'normal', 'degree': 0.1708542713567839}",41.0
24,normal,27,16,11,"{'type': 'normal', 'degree': 0.135678391959799}",136.0
25,normal,28,13,15,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
26,normal,26,10,16,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
27,normal,28,11,17,"{'type': 'normal', 'degree': 0.1407035175879397}",125.0
28,normal,26,15,11,"{'type': 'normal', 'degree': 0.1306532663316583}",153.0
29,normal,40,22,18,"{'type': 'normal', 'degree': 0.20100502512562815}",9.0
30,normal,35,18,17,"{'type': 'normal', 'degree': 0.17587939698492464}",35.0
31,normal,35,15,20,"{'type': 'normal', 'degree': 0.17587939698492464}",35.0
32,normal,32,16,16,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
33,normal,20,12,8,"{'type': 'normal', 'degree': 0.10050251256281408}",187.0
34,normal,29,10,19,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
35,normal,41,22,19,"{'type': 'normal', 'degree': 0.20603015075376885}",5.0
36,normal,32,17,15,"{'type': 'normal', 'degree': 0.16080402010050251}",62.0
37,normal,31,13,18,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
38,normal,31,16,15,"{'type': 'normal', 'degree': 0.15577889447236182}",83.0
39,normal,30,13,17,"{'type': 'normal', 'degree': 0.15075376884422112}",96.0
40,normal,33,13,20,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
41,normal,29,15,14,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
42,normal,33,21,12,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
43,normal,33,15,18,"{'type': 'normal', 'degree': 0.1658291457286432}",49.0
44,normal,29,13,16,"{'type': 'normal', 'degree': 0.1457286432160804}",111.0
