Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(165, 77.0)	Type: indirect_target
(0, -46.0)	Type: intermediary
(45, -45.0)	Type: indirect_source
(202, 34.0)	Type: indirect_source
(146, -29.0)	Type: intermediary
(95, -28.0)	Type: intermediary
(179, 25.0)	Type: intermediary
(161, 24.0)	Type: intermediary
(50, 22.0)	Type: intermediary
(173, 21.0)	Type: indirect_source
(38, -17.0)	Type: indirect_source
(92, -12.0)	Type: intermediary
(94, -12.0)	Type: intermediary
(125, -12.0)	Type: intermediary
(186, 12.0)	Type: intermediary
(2, 11.0)	Type: normal
(82, -11.0)	Type: normal
(107, 11.0)	Type: normal
(69, 10.0)	Type: normal
(108, 10.0)	Type: normal
(21, 9.0)	Type: intermediary
(70, -9.0)	Type: normal
(129, -9.0)	Type: normal
(12, 8.0)	Type: normal
(14, -8.0)	Type: intermediary
(63, 8.0)	Type: normal
(118, -8.0)	Type: normal
(123, 8.0)	Type: intermediary
(154, 8.0)	Type: normal
(156, -8.0)	Type: normal
