Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(197, 110.0)	Type: mushroom
(3, 42.0)	Type: normal
(182, -35.0)	Type: normal
(120, -29.0)	Type: ghost
(52, -23.0)	Type: normal
(2, -22.0)	Type: normal
(46, -20.0)	Type: normal
(66, -15.0)	Type: normal
(75, 14.0)	Type: normal
(149, -11.0)	Type: normal
(1, -9.0)	Type: ghost
(21, 9.0)	Type: normal
(24, -8.0)	Type: normal
(6, -7.0)	Type: normal
(36, -7.0)	Type: ghost
(56, 7.0)	Type: normal
(127, 7.0)	Type: normal
(100, -6.0)	Type: normal
(97, 5.0)	Type: normal
(119, -5.0)	Type: normal
(7, -4.0)	Type: ghost
(37, 4.0)	Type: normal
(53, -4.0)	Type: normal
(73, -4.0)	Type: normal
(82, -4.0)	Type: normal
(92, -4.0)	Type: normal
(98, -4.0)	Type: normal
(110, 4.0)	Type: normal
(131, -4.0)	Type: normal
(142, 4.0)	Type: normal
