Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(185, 137.0)	Type: mushroom
(190, -61.0)	Type: ghost
(154, 31.0)	Type: normal
(165, 21.0)	Type: normal
(157, 20.0)	Type: normal
(12, 12.0)	Type: normal
(96, 12.0)	Type: normal
(25, -11.0)	Type: ghost
(206, 11.0)	Type: normal
(58, 10.0)	Type: normal
(101, 10.0)	Type: normal
(178, 9.0)	Type: normal
(46, -8.0)	Type: normal
(67, 8.0)	Type: normal
(78, -8.0)	Type: normal
(201, 8.0)	Type: normal
(74, 7.0)	Type: normal
(81, 7.0)	Type: normal
(92, 7.0)	Type: normal
(122, -7.0)	Type: normal
(145, -7.0)	Type: normal
(203, -7.0)	Type: normal
(4, 6.0)	Type: normal
(64, 6.0)	Type: normal
(174, -6.0)	Type: normal
(186, -6.0)	Type: normal
(7, 5.0)	Type: ghost
(19, -5.0)	Type: normal
(33, -5.0)	Type: normal
(109, 5.0)	Type: normal
