Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(185, 120.0)	Type: mushroom
(190, -49.0)	Type: ghost
(25, -11.0)	Type: ghost
(111, -6.0)	Type: ghost
(113, 2.0)	Type: normal
(203, 2.0)	Type: normal
(0, 1.0)	Type: normal
(2, -1.0)	Type: normal
(3, 1.0)	Type: normal
(4, -1.0)	Type: normal
(5, -1.0)	Type: normal
(6, -1.0)	Type: normal
(10, -1.0)	Type: normal
(11, -1.0)	Type: normal
(12, -1.0)	Type: normal
(13, -1.0)	Type: normal
(14, 1.0)	Type: normal
(17, -1.0)	Type: normal
(20, 1.0)	Type: normal
(21, -1.0)	Type: normal
(23, -1.0)	Type: normal
(24, 1.0)	Type: normal
(26, 1.0)	Type: normal
(30, 1.0)	Type: normal
(31, 1.0)	Type: normal
(32, 1.0)	Type: normal
(33, -1.0)	Type: normal
(35, -1.0)	Type: normal
(36, -1.0)	Type: normal
(38, -1.0)	Type: normal
