Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(104, 57.0)	Type: indirect_target
(130, 57.0)	Type: indirect_source
(186, 56.0)	Type: vulcano
(183, 46.0)	Type: black_hole
(204, -45.0)	Type: black_hole
(94, 44.0)	Type: normal
(117, 36.0)	Type: indirect_source
(70, 34.0)	Type: normal
(17, 32.0)	Type: normal
(34, 32.0)	Type: normal
(161, 32.0)	Type: intermediary
(151, 29.0)	Type: intermediary
(175, 29.0)	Type: intermediary
(67, -28.0)	Type: normal
(77, 25.0)	Type: intermediary
(64, 20.0)	Type: normal
(146, 20.0)	Type: intermediary
(19, 19.0)	Type: normal
(35, 19.0)	Type: intermediary
(185, 16.0)	Type: intermediary
(191, 16.0)	Type: normal
(196, 16.0)	Type: intermediary
(7, -12.0)	Type: normal
(10, -12.0)	Type: normal
(13, -12.0)	Type: normal
(23, -12.0)	Type: normal
(36, -12.0)	Type: normal
(38, -12.0)	Type: mushroom
(52, -12.0)	Type: normal
(56, -12.0)	Type: normal
