Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(186, -123.0)	Type: vulcano
(204, 102.0)	Type: black_hole
(114, -101.0)	Type: indirect_target
(110, 92.0)	Type: normal
(120, 85.0)	Type: normal
(0, 61.0)	Type: mushroom
(165, 56.0)	Type: normal
(92, 55.0)	Type: black_hole
(35, 52.0)	Type: intermediary
(158, -49.0)	Type: normal
(185, 49.0)	Type: intermediary
(29, 41.0)	Type: normal
(183, 37.0)	Type: black_hole
(36, 34.0)	Type: normal
(173, 33.0)	Type: normal
(63, -32.0)	Type: normal
(178, -32.0)	Type: normal
(58, 30.0)	Type: normal
(66, 29.0)	Type: normal
(15, 27.0)	Type: normal
(87, 27.0)	Type: normal
(53, 25.0)	Type: normal
(26, -23.0)	Type: normal
(37, -23.0)	Type: normal
(128, -23.0)	Type: normal
(122, -22.0)	Type: normal
(62, -21.0)	Type: normal
(117, -21.0)	Type: indirect_source
(13, -20.0)	Type: normal
(184, -20.0)	Type: normal
