Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(5, 128.0)	Type: mushroom
(209, 77.0)	Type: black_hole
(159, 66.0)	Type: intermediary
(202, 59.0)	Type: black_hole
(37, -51.0)	Type: volcano
(44, 47.0)	Type: black_hole
(108, 20.0)	Type: normal
(130, -17.0)	Type: normal
(45, -16.0)	Type: normal
(167, -11.0)	Type: indirect_target
(190, -11.0)	Type: intermediary
(3, -10.0)	Type: intermediary
(15, -10.0)	Type: intermediary
(10, 8.0)	Type: normal
(144, 8.0)	Type: normal
(82, 7.0)	Type: indirect_source
(4, -6.0)	Type: normal
(105, -6.0)	Type: normal
(110, -6.0)	Type: normal
(116, -6.0)	Type: normal
(174, -6.0)	Type: normal
(178, 6.0)	Type: normal
(8, -5.0)	Type: normal
(9, -5.0)	Type: normal
(70, -5.0)	Type: normal
(77, -5.0)	Type: normal
(115, -5.0)	Type: normal
(121, 5.0)	Type: normal
(141, -5.0)	Type: normal
(146, -5.0)	Type: normal
