Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(5, 127.0)	Type: mushroom
(89, 106.0)	Type: normal
(172, 91.0)	Type: normal
(84, 66.0)	Type: normal
(167, -62.0)	Type: indirect_target
(209, 60.0)	Type: black_hole
(37, -57.0)	Type: volcano
(187, 53.0)	Type: normal
(202, 48.0)	Type: black_hole
(188, 37.0)	Type: normal
(61, 30.0)	Type: normal
(14, -29.0)	Type: normal
(149, -29.0)	Type: normal
(158, -27.0)	Type: normal
(199, 27.0)	Type: normal
(130, -25.0)	Type: normal
(159, 25.0)	Type: intermediary
(25, -24.0)	Type: normal
(90, -23.0)	Type: normal
(63, 22.0)	Type: normal
(86, -22.0)	Type: ghost
(133, -22.0)	Type: normal
(192, -22.0)	Type: normal
(77, 20.0)	Type: normal
(124, -20.0)	Type: normal
(135, 20.0)	Type: normal
(208, 19.0)	Type: normal
(95, 18.0)	Type: normal
(171, -18.0)	Type: normal
(38, 17.0)	Type: normal
