Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(5, 121.0)	Type: mushroom
(202, -87.0)	Type: black_hole
(209, -85.0)	Type: black_hole
(44, 55.0)	Type: black_hole
(188, 40.0)	Type: normal
(134, -32.0)	Type: normal
(88, 31.0)	Type: normal
(175, 31.0)	Type: indirect_source
(83, -30.0)	Type: intermediary
(124, 29.0)	Type: normal
(159, 28.0)	Type: intermediary
(37, 26.0)	Type: volcano
(82, 25.0)	Type: indirect_source
(139, -22.0)	Type: normal
(112, 21.0)	Type: normal
(211, 20.0)	Type: normal
(106, 18.0)	Type: normal
(160, 18.0)	Type: normal
(169, 18.0)	Type: normal
(191, 17.0)	Type: normal
(90, 16.0)	Type: normal
(155, -15.0)	Type: intermediary
(85, 14.0)	Type: normal
(35, 13.0)	Type: intermediary
(119, 13.0)	Type: normal
(39, 11.0)	Type: normal
(108, 11.0)	Type: normal
(138, 11.0)	Type: normal
(167, -11.0)	Type: indirect_target
(10, 10.0)	Type: normal
