Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(98, 137.0)	Type: mushroom
(23, -14.0)	Type: ghost
(143, -11.0)	Type: ghost
(2, -7.0)	Type: ghost
(0, -1.0)	Type: normal
(1, -1.0)	Type: normal
(4, -1.0)	Type: normal
(5, -1.0)	Type: normal
(8, -1.0)	Type: normal
(10, -1.0)	Type: normal
(11, -1.0)	Type: normal
(12, -1.0)	Type: normal
(13, -1.0)	Type: normal
(14, -1.0)	Type: normal
(15, 1.0)	Type: normal
(17, -1.0)	Type: normal
(18, -1.0)	Type: normal
(19, 1.0)	Type: normal
(21, -1.0)	Type: normal
(22, 1.0)	Type: normal
(24, -1.0)	Type: normal
(25, -1.0)	Type: normal
(26, -1.0)	Type: normal
(27, -1.0)	Type: normal
(28, -1.0)	Type: normal
(29, -1.0)	Type: normal
(30, -1.0)	Type: normal
(32, -1.0)	Type: normal
(33, -1.0)	Type: normal
(36, -1.0)	Type: normal
