Top 30 nodes sorted by the absolute value of the residuals of the ranks:
(164, 97.0)	Type: indirect_source
(193, 60.0)	Type: indirect_target
(156, 56.0)	Type: indirect_target
(179, 36.0)	Type: indirect_target
(112, 31.0)	Type: intermediary
(108, 29.0)	Type: intermediary
(46, 20.0)	Type: intermediary
(186, 19.0)	Type: intermediary
(163, 18.0)	Type: intermediary
(178, 17.0)	Type: indirect_target
(60, 15.0)	Type: normal
(104, 13.0)	Type: normal
(192, 13.0)	Type: intermediary
(55, 12.0)	Type: intermediary
(10, 11.0)	Type: intermediary
(30, 11.0)	Type: intermediary
(31, -11.0)	Type: normal
(52, -11.0)	Type: normal
(140, 11.0)	Type: intermediary
(25, -9.0)	Type: normal
(63, -9.0)	Type: normal
(69, -9.0)	Type: normal
(106, -9.0)	Type: normal
(122, 9.0)	Type: intermediary
(131, -9.0)	Type: normal
(165, -9.0)	Type: normal
(172, -9.0)	Type: normal
(176, -9.0)	Type: normal
(190, 9.0)	Type: intermediary
(202, -9.0)	Type: normal
