node_id	score	type
180	-156.0	volcano
138	-126.0	volcano
10	-118.0	black_hole
33	-88.0	black_hole
96	-88.0	black_hole
66	66.0	normal
153	60.0	normal
55	53.0	normal
89	45.0	normal
156	-45.0	black_hole
204	44.0	normal
135	43.0	normal
32	41.0	normal
108	37.0	normal
129	37.0	normal
193	32.0	normal
69	31.0	normal
202	31.0	normal
20	30.0	normal
85	30.0	normal
81	29.0	normal
13	28.0	normal
189	27.0	normal
2	-26.0	normal
21	26.0	normal
26	26.0	normal
51	-26.0	normal
27	25.0	normal
87	25.0	normal
164	24.0	normal
