node_id	score	type
50	76.0	indirect_target
190	54.0	indirect_target
181	48.0	indirect_target
171	43.0	indirect_target
178	33.0	intermediary
69	29.0	intermediary
170	26.0	intermediary
184	25.0	intermediary
109	22.0	intermediary
119	22.0	intermediary
25	21.0	indirect_target
4	20.0	intermediary
137	20.0	intermediary
125	17.0	intermediary
196	14.0	intermediary
86	13.0	intermediary
165	13.0	intermediary
80	12.0	normal
91	-11.0	normal
102	-11.0	normal
28	-10.0	intermediary
44	-10.0	normal
64	-10.0	normal
79	-10.0	normal
118	10.0	intermediary
22	-9.0	normal
42	-9.0	normal
185	9.0	intermediary
206	-9.0	normal
179	-8.0	normal
