node_id	score	type
184	103.0	intermediary
190	-60.0	indirect_target
86	-57.0	intermediary
203	44.0	intermediary
193	42.0	normal
181	36.0	indirect_target
118	-34.0	intermediary
174	32.0	intermediary
75	29.0	normal
50	26.0	indirect_target
25	19.0	indirect_target
31	15.0	normal
91	15.0	normal
196	-14.0	intermediary
71	12.0	normal
175	11.0	normal
186	-11.0	intermediary
191	-11.0	intermediary
19	10.0	normal
119	-10.0	intermediary
124	-10.0	normal
170	-10.0	intermediary
62	-9.0	indirect_source
79	9.0	normal
109	9.0	intermediary
171	9.0	indirect_target
9	-8.0	normal
60	-8.0	normal
94	-8.0	normal
98	-8.0	normal
