node_id	score	type
52	90.0	indirect_source
62	65.0	indirect_source
210	59.0	indirect_source
184	41.0	intermediary
118	19.0	intermediary
170	19.0	intermediary
178	19.0	intermediary
186	19.0	intermediary
191	19.0	intermediary
196	19.0	intermediary
28	17.0	intermediary
86	17.0	intermediary
103	17.0	intermediary
109	17.0	intermediary
69	15.0	intermediary
119	15.0	intermediary
174	15.0	intermediary
185	15.0	intermediary
203	15.0	intermediary
137	9.0	intermediary
165	9.0	intermediary
3	-7.0	normal
11	-7.0	normal
13	-7.0	normal
22	-7.0	normal
35	-7.0	normal
47	-7.0	normal
48	-7.0	normal
53	7.0	indirect_source
58	-7.0	normal
