node_id	score	type
45	-168.0	volcano
70	88.0	indirect_target
97	77.0	indirect_target
71	64.0	black_hole
166	59.0	black_hole
54	-29.0	volcano
35	-24.0	normal
60	24.0	normal
208	-24.0	normal
21	20.0	normal
75	20.0	normal
0	19.0	intermediary
8	19.0	normal
19	19.0	intermediary
92	19.0	intermediary
136	19.0	normal
143	19.0	normal
209	19.0	normal
62	18.0	normal
96	18.0	normal
151	18.0	normal
165	18.0	normal
178	18.0	normal
28	13.0	normal
114	13.0	normal
127	13.0	normal
142	13.0	ghost
153	13.0	intermediary
182	13.0	normal
195	13.0	normal
