node_id	score	type
45	-122.0	volcano
1	98.0	normal
60	55.0	normal
174	52.0	normal
166	51.0	black_hole
56	50.0	normal
71	45.0	black_hole
176	-38.0	normal
92	37.0	intermediary
0	33.0	intermediary
130	-30.0	normal
63	29.0	normal
157	27.0	normal
35	-26.0	normal
153	25.0	intermediary
2	-24.0	normal
22	-20.0	normal
114	20.0	normal
122	-19.0	ghost
6	-18.0	normal
26	-18.0	normal
155	-17.0	normal
163	-17.0	normal
180	-17.0	normal
198	17.0	normal
33	16.0	normal
107	-15.0	normal
131	-15.0	normal
129	-14.0	normal
159	-14.0	normal
