node_id	score	type
54	102.0	volcano
193	87.0	indirect_source
70	61.0	indirect_target
166	-54.0	black_hole
0	45.0	intermediary
60	44.0	normal
149	43.0	intermediary
71	-34.0	black_hole
135	-30.0	intermediary
45	-26.0	volcano
75	25.0	normal
92	24.0	intermediary
140	24.0	intermediary
93	22.0	normal
87	20.0	indirect_source
97	18.0	indirect_target
106	17.0	normal
105	15.0	normal
127	15.0	normal
125	14.0	normal
153	14.0	intermediary
13	-13.0	normal
171	12.0	normal
199	-12.0	intermediary
35	-11.0	normal
47	11.0	normal
142	11.0	ghost
5	-10.0	normal
18	-10.0	normal
39	-10.0	normal
