node_id	score	type
87	-134.0	black_hole
119	-123.0	black_hole
180	-118.0	black_hole
37	-108.0	black_hole
28	-88.0	black_hole
181	86.0	volcano
93	71.0	normal
54	70.0	normal
203	64.0	volcano
134	57.0	normal
209	55.0	normal
61	54.0	normal
112	52.0	normal
100	51.0	normal
152	50.0	normal
95	47.0	normal
101	47.0	normal
175	47.0	volcano
177	47.0	normal
80	44.0	normal
83	40.0	normal
33	39.0	volcano
122	37.0	normal
106	34.0	normal
76	-33.0	normal
141	-33.0	normal
1	-32.0	normal
47	-31.0	black_hole
35	29.0	normal
148	28.0	normal
