node_id	score	type
60	-205.0	volcano
105	-161.0	volcano
128	121.0	black_hole
141	-105.0	volcano
18	103.0	black_hole
46	72.0	black_hole
206	-71.0	volcano
71	66.0	normal
118	63.0	black_hole
25	-54.0	volcano
98	-52.0	normal
125	47.0	normal
93	46.0	normal
39	-42.0	normal
132	38.0	normal
36	-37.0	normal
37	-37.0	normal
138	34.0	normal
99	33.0	normal
62	-32.0	normal
63	32.0	black_hole
121	32.0	normal
15	31.0	normal
161	-31.0	normal
195	29.0	normal
198	28.0	normal
123	-26.0	normal
20	-25.0	normal
69	-25.0	normal
110	-24.0	normal
