node_id	score	type
60	-208.0	volcano
105	-141.0	volcano
25	-117.0	volcano
128	100.0	black_hole
141	-97.0	volcano
18	88.0	black_hole
125	57.0	normal
118	46.0	black_hole
143	46.0	normal
46	45.0	black_hole
90	-36.0	normal
112	36.0	normal
206	-36.0	volcano
179	35.0	normal
93	33.0	normal
8	31.0	normal
95	30.0	normal
195	30.0	normal
133	25.0	normal
82	24.0	normal
200	24.0	normal
104	23.0	normal
30	20.0	normal
97	19.0	normal
16	18.0	normal
85	18.0	normal
56	17.0	normal
120	17.0	normal
121	17.0	normal
139	17.0	normal
