node_id	score	type
3	90.0	volcano
211	89.0	volcano
152	-76.0	black_hole
48	67.0	normal
50	67.0	black_hole
90	51.0	normal
180	51.0	black_hole
104	-49.0	black_hole
166	48.0	normal
39	36.0	normal
62	36.0	normal
14	34.0	normal
146	-34.0	volcano
7	32.0	normal
28	32.0	normal
31	32.0	normal
119	32.0	normal
155	32.0	normal
176	25.0	normal
68	23.0	normal
122	23.0	normal
13	-21.0	normal
20	-21.0	normal
34	-21.0	normal
55	-21.0	normal
59	-21.0	normal
70	-21.0	normal
85	-21.0	normal
86	-21.0	normal
87	-21.0	normal
