node_id	score	type
77	-159.0	black_hole
123	-141.0	black_hole
163	132.0	volcano
39	-92.0	black_hole
197	68.0	volcano
30	67.0	volcano
41	-58.0	black_hole
159	55.0	normal
147	51.0	normal
5	48.0	volcano
28	-47.0	black_hole
31	43.0	normal
87	42.0	normal
46	38.0	normal
53	36.0	normal
36	34.0	normal
111	32.0	normal
56	27.0	normal
72	26.0	normal
168	-26.0	normal
42	24.0	normal
99	24.0	normal
129	23.0	normal
174	21.0	normal
179	20.0	normal
13	19.0	normal
78	19.0	normal
175	19.0	normal
135	17.0	normal
0	16.0	normal
