node_id	score	type
137	-185.0	volcano
138	-185.0	volcano
33	147.0	black_hole
45	134.0	black_hole
96	105.0	black_hole
180	-85.0	volcano
12	61.0	normal
141	59.0	normal
191	54.0	black_hole
10	43.0	black_hole
112	43.0	normal
135	43.0	normal
81	40.0	normal
206	31.0	normal
89	28.0	normal
207	28.0	normal
82	24.0	normal
62	20.0	normal
174	20.0	normal
204	20.0	normal
161	19.0	normal
194	19.0	normal
69	18.0	normal
165	18.0	normal
14	16.0	normal
169	16.0	normal
87	14.0	normal
184	13.0	normal
211	13.0	normal
58	12.0	normal
