node_id	score	type
45	-146.0	black_hole
33	-124.0	black_hole
96	-121.0	black_hole
137	112.0	volcano
157	102.0	volcano
191	-81.0	black_hole
180	78.0	volcano
138	57.0	volcano
10	-45.0	black_hole
156	-42.0	black_hole
181	40.0	normal
146	-37.0	normal
93	34.0	normal
107	34.0	normal
189	34.0	normal
134	33.0	normal
116	30.0	normal
153	30.0	normal
177	30.0	normal
108	23.0	normal
27	20.0	normal
40	20.0	normal
78	20.0	normal
119	20.0	normal
176	20.0	normal
182	20.0	normal
194	20.0	normal
201	20.0	normal
205	20.0	normal
6	18.0	normal
