node_id	score	type
28	-83.0	black_hole
37	-57.0	black_hole
175	56.0	volcano
14	53.0	normal
101	53.0	normal
180	-43.0	black_hole
122	38.0	normal
70	34.0	normal
209	34.0	normal
161	32.0	normal
47	31.0	black_hole
71	31.0	normal
102	27.0	normal
145	27.0	normal
100	25.0	normal
69	22.0	normal
92	-22.0	normal
4	-21.0	normal
81	19.0	normal
93	19.0	normal
88	18.0	normal
207	18.0	normal
107	-17.0	normal
119	17.0	black_hole
126	-17.0	normal
131	-17.0	normal
138	17.0	normal
179	-17.0	normal
186	17.0	normal
190	17.0	normal
