node_id	score	type
47	116.0	black_hole
175	-92.0	volcano
28	85.0	black_hole
180	84.0	black_hole
33	-71.0	volcano
37	49.0	black_hole
15	-36.0	normal
186	35.0	normal
166	-31.0	normal
19	29.0	normal
134	-28.0	normal
203	-28.0	volcano
207	24.0	normal
16	23.0	normal
178	23.0	normal
195	-23.0	normal
65	-20.0	normal
107	20.0	normal
148	-20.0	normal
173	-20.0	normal
51	-18.0	normal
71	18.0	normal
169	-18.0	normal
181	-18.0	volcano
200	18.0	normal
27	-17.0	normal
78	-17.0	normal
108	-17.0	normal
109	17.0	normal
121	-17.0	normal
