node_id	score	type
180	104.0	black_hole
203	-89.0	volcano
175	-75.0	volcano
28	72.0	black_hole
47	60.0	black_hole
119	49.0	black_hole
104	48.0	normal
4	-46.0	normal
33	-40.0	volcano
69	35.0	normal
100	35.0	normal
88	-32.0	normal
211	32.0	normal
57	-31.0	normal
162	-31.0	normal
65	27.0	normal
16	26.0	normal
111	24.0	normal
150	-24.0	normal
154	24.0	normal
109	23.0	normal
145	23.0	normal
37	22.0	black_hole
108	-22.0	normal
178	22.0	normal
153	20.0	normal
181	-20.0	volcano
19	18.0	normal
44	-18.0	normal
51	-18.0	normal
