node_id	score	type
119	-136.0	black_hole
180	-118.0	black_hole
87	-100.0	black_hole
28	-89.0	black_hole
181	80.0	volcano
93	77.0	normal
37	-75.0	black_hole
33	56.0	volcano
203	55.0	volcano
122	54.0	normal
61	47.0	normal
112	46.0	normal
54	42.0	normal
80	39.0	normal
175	39.0	volcano
100	36.0	normal
152	35.0	normal
95	32.0	normal
134	31.0	normal
194	30.0	normal
209	30.0	normal
70	28.0	normal
14	26.0	normal
47	-26.0	black_hole
30	25.0	normal
83	24.0	normal
62	-23.0	normal
85	23.0	normal
138	21.0	normal
207	21.0	normal
