node_id	score	type
63	-200.0	black_hole
60	-145.0	volcano
46	-78.0	black_hole
132	77.0	normal
118	-69.0	black_hole
128	-67.0	black_hole
82	56.0	normal
105	-56.0	volcano
25	-54.0	volcano
148	48.0	normal
125	47.0	normal
149	47.0	normal
211	45.0	normal
163	41.0	normal
198	39.0	normal
180	38.0	normal
113	36.0	normal
101	35.0	normal
42	34.0	normal
41	33.0	normal
18	-32.0	black_hole
2	-31.0	normal
96	31.0	normal
102	-31.0	normal
37	-30.0	normal
95	30.0	normal
106	-29.0	normal
93	28.0	normal
49	27.0	normal
70	-26.0	normal
