node_id	score	type
60	-210.0	volcano
105	-166.0	volcano
141	-136.0	volcano
128	124.0	black_hole
46	109.0	black_hole
18	100.0	black_hole
118	94.0	black_hole
25	-78.0	volcano
206	-78.0	volcano
93	62.0	normal
87	45.0	normal
99	45.0	normal
49	39.0	normal
95	39.0	normal
112	39.0	normal
125	39.0	normal
143	37.0	normal
82	28.0	normal
71	26.0	normal
34	24.0	normal
56	24.0	normal
96	23.0	normal
27	22.0	normal
43	22.0	normal
121	22.0	normal
132	22.0	normal
182	22.0	normal
191	22.0	normal
200	22.0	normal
63	15.0	black_hole
