node_id	score	type
60	-174.0	volcano
128	-113.0	black_hole
18	-79.0	black_hole
118	-60.0	black_hole
105	-49.0	volcano
133	48.0	normal
189	48.0	normal
200	42.0	normal
125	41.0	normal
90	-40.0	normal
120	40.0	normal
179	40.0	normal
198	38.0	normal
34	34.0	normal
4	29.0	normal
155	29.0	normal
143	27.0	normal
75	26.0	normal
91	25.0	normal
123	25.0	normal
163	24.0	normal
35	23.0	normal
43	23.0	normal
46	23.0	black_hole
74	21.0	normal
82	21.0	normal
180	21.0	normal
95	20.0	normal
5	-19.0	normal
96	19.0	normal
