node_id	score	type
104	129.0	black_hole
152	118.0	black_hole
167	95.0	black_hole
50	57.0	black_hole
80	51.0	normal
146	-51.0	volcano
180	50.0	black_hole
28	40.0	normal
87	-39.0	normal
187	-36.0	normal
18	-34.0	normal
103	34.0	normal
29	-32.0	normal
3	-28.0	volcano
181	-28.0	normal
42	-27.0	normal
108	26.0	normal
14	25.0	normal
176	25.0	normal
196	-23.0	volcano
53	22.0	normal
31	21.0	normal
41	-20.0	normal
67	20.0	normal
75	20.0	normal
195	-20.0	normal
105	-19.0	normal
153	-19.0	normal
197	19.0	normal
133	-18.0	normal
