node_id	score	type
123	-190.0	black_hole
77	-130.0	black_hole
87	111.0	normal
39	-108.0	black_hole
36	105.0	normal
163	104.0	volcano
147	89.0	normal
41	-83.0	black_hole
28	-79.0	black_hole
111	77.0	normal
129	66.0	normal
56	59.0	normal
30	58.0	volcano
110	53.0	normal
159	53.0	normal
49	52.0	normal
46	50.0	normal
53	45.0	normal
31	43.0	normal
158	40.0	normal
197	40.0	volcano
2	-39.0	normal
26	39.0	normal
72	35.0	normal
185	-34.0	normal
177	-33.0	normal
198	-33.0	normal
203	33.0	normal
205	33.0	normal
5	32.0	volcano
