strategy,p@1,p@2,p@5,avg p@5,avg p@10,avg p@20,avg p@30,r@30
strict_summation_strategy avg,0.60,0.60,0.64,0.83,0.82,0.72,0.65,0.90
strict_summation_strategy std,0.55,0.42,0.30,0.22,0.10,0.08,0.06,0.14
strength avg,0.80,0.90,0.76,0.93,0.81,0.65,0.54,0.66
strength std,0.45,0.22,0.17,0.06,0.13,0.07,0.07,0.15
pagerank avg,0.60,0.60,0.72,0.90,0.88,0.72,0.60,0.80
pagerank std,0.55,0.42,0.23,0.12,0.06,0.08,0.09,0.17
outstrength avg,1.00,1.00,0.96,0.99,0.97,0.80,0.68,0.98
outstrength std,0.00,0.00,0.09,0.02,0.02,0.03,0.02,0.04
outdegree avg,1.00,1.00,1.00,1.00,0.98,0.81,0.68,0.98
outdegree std,0.00,0.00,0.00,0.00,0.01,0.04,0.02,0.04
instrength avg,1.00,1.00,1.00,1.00,0.96,0.77,0.64,0.88
instrength std,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.04
indegree avg,1.00,1.00,1.00,1.00,0.97,0.77,0.64,0.88
indegree std,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.08
hits_hubs avg,1.00,1.00,0.88,0.97,0.92,0.74,0.63,0.86
hits_hubs std,0.00,0.00,0.18,0.06,0.03,0.04,0.05,0.11
hits_authorities avg,1.00,1.00,0.76,0.88,0.85,0.71,0.60,0.80
hits_authorities std,0.00,0.00,0.33,0.16,0.14,0.08,0.07,0.16
eigenvector avg,1.00,1.00,1.00,1.00,0.94,0.74,0.63,0.86
eigenvector std,0.00,0.00,0.00,0.00,0.05,0.04,0.04,0.09
degree avg,1.00,1.00,0.64,0.87,0.80,0.65,0.54,0.68
degree std,0.00,0.00,0.17,0.10,0.08,0.10,0.10,0.19
closeness avg,1.00,1.00,0.96,0.99,0.93,0.77,0.62,0.84
closeness std,0.00,0.00,0.09,0.02,0.04,0.05,0.05,0.11
betweenness avg,0.80,0.90,0.84,0.97,0.92,0.70,0.59,0.76
betweenness std,0.45,0.22,0.09,0.02,0.03,0.04,0.05,0.11
