node_id	score	type
184	72.0	intermediary
190	-52.0	indirect_target
86	-40.0	intermediary
203	28.0	intermediary
28	-26.0	intermediary
118	-25.0	intermediary
25	24.0	indirect_target
103	22.0	intermediary
186	-21.0	intermediary
50	-19.0	indirect_target
174	17.0	intermediary
170	-15.0	intermediary
191	-15.0	intermediary
196	-14.0	intermediary
129	8.0	intermediary
165	8.0	intermediary
178	7.0	intermediary
4	-6.0	intermediary
10	5.0	intermediary
109	5.0	intermediary
69	4.0	intermediary
131	-4.0	intermediary
137	-4.0	intermediary
171	4.0	indirect_target
1	3.0	normal
17	3.0	normal
37	3.0	normal
39	3.0	normal
43	3.0	normal
76	3.0	normal
