node_id	score	type
78	80.0	indirect_target
15	49.0	indirect_target
69	45.0	indirect_target
50	35.0	indirect_source
187	33.0	intermediary
39	30.0	intermediary
51	30.0	intermediary
151	30.0	intermediary
170	30.0	indirect_source
2	27.0	intermediary
154	24.0	intermediary
85	19.0	intermediary
199	18.0	intermediary
27	17.0	intermediary
31	-17.0	normal
130	16.0	intermediary
144	16.0	intermediary
163	-16.0	normal
75	-15.0	normal
90	14.0	intermediary
91	-14.0	normal
148	14.0	intermediary
200	-14.0	normal
38	-13.0	normal
186	13.0	intermediary
182	-12.0	normal
124	-11.0	normal
149	-11.0	normal
99	-10.0	normal
156	10.0	intermediary
