node_id	score	type
101	71.0	indirect_target
11	59.0	indirect_target
123	57.0	indirect_target
199	25.0	intermediary
144	19.0	intermediary
21	16.0	intermediary
3	15.0	intermediary
31	15.0	intermediary
119	15.0	indirect_target
200	15.0	intermediary
77	13.0	intermediary
128	13.0	intermediary
16	-11.0	normal
108	10.0	normal
72	9.0	intermediary
58	-8.0	normal
60	8.0	intermediary
71	8.0	normal
79	8.0	normal
86	-8.0	intermediary
152	-8.0	normal
162	-8.0	normal
183	8.0	normal
59	-7.0	normal
62	7.0	normal
112	-7.0	normal
116	-7.0	normal
121	-7.0	normal
126	7.0	normal
127	-7.0	normal
