node_id	score	type
11	60.0	indirect_target
123	60.0	indirect_target
101	51.0	indirect_target
29	32.0	intermediary
119	28.0	indirect_target
140	28.0	indirect_source
163	28.0	indirect_source
199	28.0	intermediary
144	27.0	intermediary
77	26.0	intermediary
3	17.0	intermediary
21	17.0	intermediary
20	16.0	indirect_source
128	15.0	intermediary
177	14.0	intermediary
86	13.0	intermediary
12	-10.0	normal
25	-10.0	normal
51	-10.0	normal
67	-10.0	normal
72	10.0	intermediary
74	-10.0	normal
103	-10.0	normal
146	10.0	intermediary
151	-10.0	normal
204	-10.0	normal
27	-9.0	normal
105	-9.0	normal
139	-9.0	normal
190	-9.0	normal
