node_id	score	type
123	79.0	indirect_target
101	73.0	indirect_target
11	64.0	indirect_target
119	25.0	indirect_target
72	23.0	intermediary
21	22.0	intermediary
128	22.0	intermediary
200	20.0	intermediary
3	19.0	intermediary
77	15.0	intermediary
199	15.0	intermediary
144	11.0	intermediary
29	10.0	intermediary
31	10.0	intermediary
55	10.0	intermediary
60	10.0	intermediary
177	6.0	intermediary
12	-5.0	normal
13	-5.0	normal
25	-5.0	normal
41	-5.0	normal
43	-5.0	normal
52	-5.0	normal
64	-5.0	normal
92	-5.0	normal
122	-5.0	normal
137	-5.0	normal
157	-5.0	normal
159	5.0	intermediary
168	-5.0	normal
