node_id	score	type
4	47.0	indirect_source
184	-42.0	intermediary
66	36.0	intermediary
136	-31.0	intermediary
71	25.0	intermediary
138	-16.0	intermediary
176	-16.0	normal
62	13.0	indirect_source
3	11.0	intermediary
97	11.0	normal
27	9.0	normal
29	-9.0	intermediary
47	-9.0	normal
86	9.0	normal
90	9.0	normal
141	9.0	intermediary
14	-8.0	normal
56	-8.0	normal
1	-7.0	normal
78	7.0	normal
95	-7.0	normal
140	7.0	normal
187	7.0	intermediary
128	6.0	normal
183	6.0	normal
202	-6.0	intermediary
37	5.0	intermediary
40	5.0	normal
81	-5.0	normal
118	-5.0	normal
