node_id	score	type
4	74.0	indirect_source
62	69.0	indirect_source
138	20.0	intermediary
3	18.0	intermediary
30	17.0	intermediary
37	17.0	intermediary
126	17.0	intermediary
164	16.0	intermediary
177	16.0	indirect_source
184	16.0	intermediary
187	16.0	intermediary
71	11.0	intermediary
160	11.0	intermediary
202	11.0	intermediary
29	10.0	intermediary
141	10.0	intermediary
69	6.0	indirect_source
35	-4.0	normal
43	-4.0	normal
47	-4.0	normal
55	-4.0	normal
60	-4.0	normal
70	-4.0	normal
72	-4.0	normal
75	-4.0	normal
86	-4.0	normal
97	-4.0	normal
112	-4.0	normal
122	-4.0	normal
136	4.0	intermediary
