node_id	score	type
71	49.0	intermediary
184	-34.0	intermediary
66	33.0	intermediary
62	-30.0	indirect_source
187	28.0	intermediary
136	-22.0	intermediary
69	20.0	indirect_source
3	18.0	intermediary
138	-18.0	intermediary
141	14.0	intermediary
4	13.0	indirect_source
29	-9.0	intermediary
37	6.0	intermediary
114	-5.0	intermediary
32	-4.0	intermediary
126	-4.0	intermediary
202	4.0	intermediary
12	-3.0	normal
15	-3.0	normal
35	3.0	normal
58	-3.0	normal
73	-3.0	normal
80	-3.0	normal
83	3.0	normal
92	-3.0	normal
153	-3.0	normal
156	3.0	normal
164	3.0	intermediary
176	3.0	normal
181	-3.0	normal
