node_id	score	type
79	-197.0	indirect_target
186	107.0	normal
21	88.0	normal
56	64.0	normal
154	-60.0	normal
203	55.0	indirect_target
30	-39.0	intermediary
165	-34.0	normal
187	23.0	intermediary
46	-22.0	normal
183	21.0	normal
58	-15.0	normal
68	-15.0	normal
78	14.0	normal
114	-14.0	intermediary
126	-14.0	intermediary
193	-14.0	normal
7	-13.0	normal
141	13.0	intermediary
156	-12.0	normal
33	11.0	normal
69	11.0	indirect_source
100	11.0	normal
160	11.0	intermediary
3	10.0	intermediary
67	10.0	normal
84	10.0	normal
105	-10.0	normal
116	10.0	normal
149	10.0	normal
