node_id	score	type
79	-85.0	indirect_target
3	46.0	intermediary
187	41.0	intermediary
180	39.0	indirect_target
71	32.0	intermediary
62	-31.0	indirect_source
138	-30.0	intermediary
69	27.0	indirect_source
160	26.0	intermediary
66	24.0	intermediary
126	-19.0	intermediary
184	-19.0	intermediary
141	18.0	intermediary
37	17.0	intermediary
177	15.0	indirect_source
4	14.0	indirect_source
202	14.0	intermediary
203	14.0	indirect_target
114	-8.0	intermediary
30	-7.0	intermediary
164	-5.0	intermediary
6	-3.0	normal
27	-3.0	normal
76	-3.0	normal
84	3.0	normal
95	-3.0	normal
103	-3.0	normal
147	-3.0	normal
161	-3.0	normal
173	-3.0	normal
