node_id	score	type
16	80.0	indirect_target
201	77.0	indirect_target
56	74.0	indirect_target
91	38.0	intermediary
77	33.0	intermediary
200	31.0	intermediary
88	30.0	intermediary
98	30.0	intermediary
178	29.0	intermediary
150	28.0	intermediary
69	23.0	intermediary
209	22.0	intermediary
97	21.0	indirect_target
126	21.0	intermediary
167	21.0	intermediary
161	20.0	intermediary
26	18.0	intermediary
66	14.0	indirect_source
149	-14.0	normal
190	-13.0	normal
18	-12.0	normal
74	-12.0	normal
78	-12.0	normal
173	-12.0	normal
179	-12.0	normal
82	-11.0	normal
104	-11.0	normal
117	11.0	normal
130	11.0	intermediary
138	-11.0	normal
