node_id	score	type
16	-35.0	indirect_target
150	-29.0	intermediary
167	27.0	intermediary
98	26.0	intermediary
165	-25.0	intermediary
56	22.0	indirect_target
88	-19.0	intermediary
97	19.0	indirect_target
51	15.0	intermediary
90	-14.0	intermediary
26	-10.0	intermediary
77	-10.0	intermediary
201	10.0	indirect_target
69	9.0	intermediary
41	7.0	normal
89	6.0	normal
142	6.0	normal
6	5.0	normal
12	5.0	normal
59	5.0	normal
91	-5.0	intermediary
104	5.0	normal
133	-5.0	normal
145	-5.0	normal
178	-5.0	intermediary
3	4.0	normal
25	-4.0	normal
27	-4.0	normal
34	-4.0	normal
57	4.0	normal
