strategy,p@1,p@2,p@5,avg p@5,avg p@10,avg p@20,avg p@30,r@30
betweenness avg,1.00,1.00,1.00,1.00,1.00,0.98,0.93,0.70
betweenness std,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.10
closeness avg,1.00,1.00,1.00,1.00,1.00,0.97,0.89,0.62
closeness std,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07
degree avg,1.00,1.00,1.00,1.00,1.00,0.99,0.96,0.80
degree std,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.11
eigenvector avg,1.00,1.00,1.00,1.00,1.00,0.96,0.87,0.58
eigenvector std,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.08
hits_authorities avg,1.00,1.00,0.96,0.99,0.99,0.95,0.87,0.58
hits_authorities std,0.00,0.00,0.09,0.02,0.01,0.02,0.02,0.04
hits_hubs avg,1.00,0.90,0.92,0.97,0.95,0.90,0.83,0.51
hits_hubs std,0.00,0.22,0.18,0.06,0.07,0.07,0.04,0.07
indegree avg,1.00,1.00,1.00,1.00,1.00,0.99,0.93,0.71
indegree std,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.06
instrength avg,1.00,1.00,1.00,1.00,1.00,1.00,0.94,0.74
instrength std,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.08
outdegree avg,1.00,1.00,1.00,1.00,1.00,1.00,0.94,0.72
outdegree std,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.06
outstrength avg,1.00,1.00,1.00,1.00,1.00,0.99,0.93,0.70
outstrength std,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02
pagerank avg,1.00,0.90,0.84,0.89,0.94,0.88,0.81,0.49
pagerank std,0.00,0.22,0.36,0.24,0.11,0.10,0.07,0.09
strength avg,1.00,1.00,1.00,1.00,1.00,1.00,0.96,0.79
strength std,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05
summation_strategy avg,1.00,1.00,0.96,0.99,0.98,0.97,0.93,0.70
summation_strategy std,0.00,0.00,0.09,0.02,0.03,0.02,0.02,0.07
