node_id	score	type
166	-103.0	black_hole
193	99.0	indirect_source
54	97.0	volcano
71	-82.0	black_hole
45	68.0	volcano
140	58.0	intermediary
87	38.0	indirect_source
149	35.0	intermediary
46	34.0	normal
105	34.0	normal
125	34.0	normal
135	-34.0	intermediary
93	29.0	normal
180	27.0	normal
0	25.0	intermediary
83	24.0	normal
26	-22.0	normal
199	-19.0	intermediary
17	18.0	normal
50	15.0	normal
120	-15.0	normal
115	-14.0	normal
28	-13.0	normal
30	13.0	normal
90	-13.0	normal
171	13.0	normal
99	-12.0	normal
37	-11.0	normal
51	11.0	normal
147	-11.0	normal
