node_id	score	type
176	161.0	indirect_target
38	65.0	indirect_source
66	55.0	indirect_source
117	-54.0	volcano
150	46.0	intermediary
179	38.0	intermediary
55	32.0	indirect_target
24	30.0	intermediary
140	30.0	intermediary
186	30.0	normal
134	27.0	normal
137	27.0	intermediary
172	27.0	normal
185	-27.0	intermediary
43	26.0	intermediary
34	-22.0	normal
42	22.0	normal
29	21.0	normal
67	21.0	intermediary
77	21.0	normal
206	-20.0	normal
10	18.0	normal
13	11.0	normal
21	11.0	normal
54	11.0	intermediary
56	11.0	normal
64	11.0	normal
86	11.0	normal
95	-11.0	black_hole
100	11.0	normal
