node_id	score	type
95	73.0	black_hole
176	65.0	indirect_target
137	62.0	intermediary
185	56.0	intermediary
129	51.0	mushroom
117	-50.0	volcano
54	49.0	intermediary
28	36.0	mushroom
55	-35.0	indirect_target
104	-35.0	intermediary
86	32.0	normal
63	24.0	normal
10	23.0	normal
178	22.0	normal
206	-21.0	normal
24	19.0	intermediary
150	-15.0	intermediary
6	13.0	normal
29	12.0	normal
122	10.0	normal
198	-10.0	normal
144	-8.0	normal
31	7.0	normal
37	-7.0	normal
40	-7.0	normal
58	-7.0	normal
73	-7.0	normal
77	7.0	normal
123	-7.0	normal
175	-7.0	normal
