node_id	score	type
126	171.0	mushroom
185	-170.0	intermediary
117	145.0	volcano
186	69.0	normal
95	-56.0	black_hole
176	-54.0	indirect_target
23	50.0	mushroom
64	43.0	normal
38	35.0	indirect_source
61	30.0	normal
104	-29.0	intermediary
42	27.0	normal
66	26.0	indirect_source
77	26.0	normal
98	26.0	normal
21	25.0	normal
34	-25.0	normal
47	18.0	normal
150	-17.0	intermediary
156	16.0	normal
179	16.0	intermediary
197	15.0	normal
180	12.0	normal
81	11.0	normal
107	11.0	normal
13	10.0	normal
44	-10.0	normal
67	-10.0	intermediary
97	10.0	normal
123	-10.0	normal
