node_id	score	type
23	157.0	mushroom
126	153.0	mushroom
28	126.0	mushroom
129	70.0	mushroom
186	41.0	normal
104	-40.0	intermediary
10	33.0	normal
38	33.0	indirect_source
54	31.0	intermediary
185	-30.0	intermediary
55	-27.0	indirect_target
86	27.0	normal
137	26.0	intermediary
140	25.0	intermediary
24	24.0	intermediary
42	21.0	normal
206	-21.0	normal
64	17.0	normal
77	17.0	normal
198	-16.0	normal
21	15.0	normal
34	-15.0	normal
98	15.0	normal
66	14.0	indirect_source
149	-14.0	normal
180	14.0	normal
197	14.0	normal
61	11.0	normal
150	-11.0	intermediary
43	-9.0	intermediary
