node_id	score	type
152	-119.0	volcano
10	-75.0	black_hole
172	62.0	indirect_target
72	61.0	normal
38	43.0	normal
47	39.0	normal
37	35.0	normal
129	30.0	normal
69	-29.0	volcano
106	-29.0	normal
141	28.0	normal
161	27.0	intermediary
29	26.0	normal
84	22.0	normal
20	21.0	normal
35	21.0	normal
135	20.0	intermediary
108	-19.0	normal
53	18.0	normal
13	17.0	normal
17	17.0	indirect_target
100	-17.0	normal
116	-17.0	normal
173	-17.0	normal
60	16.0	indirect_source
124	16.0	intermediary
165	16.0	normal
177	-16.0	normal
208	16.0	normal
56	15.0	mushroom
