node_id	score	type
69	-183.0	volcano
71	119.0	black_hole
152	-100.0	volcano
10	69.0	black_hole
4	40.0	intermediary
172	38.0	indirect_target
47	31.0	normal
124	30.0	intermediary
135	29.0	intermediary
51	-28.0	normal
164	-28.0	normal
157	27.0	normal
38	25.0	normal
161	24.0	intermediary
143	23.0	normal
22	21.0	normal
54	21.0	normal
100	-21.0	normal
108	-21.0	normal
30	19.0	normal
121	19.0	normal
207	-19.0	normal
17	18.0	indirect_target
101	-18.0	normal
173	-17.0	normal
91	16.0	normal
116	-16.0	normal
177	16.0	normal
208	16.0	normal
7	-15.0	normal
