node_id	score	type
69	-192.0	volcano
152	-106.0	volcano
71	99.0	black_hole
172	81.0	indirect_target
10	73.0	black_hole
22	51.0	normal
30	26.0	normal
155	26.0	normal
183	26.0	intermediary
186	26.0	normal
198	26.0	normal
49	24.0	normal
50	24.0	normal
124	24.0	intermediary
135	24.0	intermediary
150	24.0	intermediary
4	21.0	intermediary
38	21.0	normal
83	21.0	normal
139	21.0	normal
143	21.0	normal
161	21.0	intermediary
64	13.0	normal
72	13.0	normal
157	13.0	normal
24	11.0	normal
47	11.0	normal
57	11.0	normal
39	10.0	normal
147	10.0	normal
