node_id	score	type
10	-77.0	black_hole
60	69.0	indirect_source
152	68.0	volcano
42	45.0	normal
56	45.0	mushroom
176	37.0	indirect_source
17	-31.0	indirect_target
71	-29.0	black_hole
53	26.0	normal
85	24.0	normal
161	24.0	intermediary
165	24.0	normal
182	24.0	normal
204	21.0	normal
181	-17.0	normal
20	16.0	normal
84	16.0	normal
113	16.0	normal
127	16.0	normal
135	16.0	intermediary
69	14.0	volcano
38	13.0	normal
102	13.0	normal
129	13.0	normal
174	13.0	normal
183	13.0	intermediary
193	13.0	intermediary
76	12.0	normal
167	12.0	normal
0	11.0	normal
