node_id	score	type
118	159.0	black_hole
159	-155.0	volcano
59	-136.0	volcano
177	85.0	indirect_target
30	-77.0	volcano
149	53.0	indirect_target
119	32.0	normal
202	28.0	normal
102	-27.0	normal
70	24.0	normal
101	-24.0	normal
16	22.0	intermediary
134	-22.0	normal
9	-21.0	normal
120	-21.0	normal
179	-21.0	normal
91	20.0	intermediary
164	20.0	normal
15	-19.0	normal
38	19.0	intermediary
62	19.0	intermediary
63	19.0	normal
176	-19.0	normal
33	18.0	normal
130	18.0	intermediary
148	18.0	normal
147	17.0	normal
171	17.0	normal
39	16.0	intermediary
96	16.0	normal
