node_id	score	type
118	173.0	black_hole
59	-141.0	volcano
159	-91.0	volcano
97	73.0	normal
205	73.0	normal
132	62.0	normal
62	-47.0	intermediary
168	45.0	normal
57	43.0	mushroom
16	40.0	intermediary
119	39.0	normal
182	-36.0	normal
160	-34.0	normal
115	32.0	normal
164	32.0	normal
178	31.0	intermediary
202	31.0	normal
103	29.0	normal
120	-28.0	normal
63	27.0	normal
151	-27.0	indirect_source
167	27.0	normal
111	-25.0	normal
38	24.0	intermediary
177	-24.0	indirect_target
12	-23.0	ghost
114	-22.0	normal
69	21.0	normal
123	-21.0	normal
207	21.0	normal
