strategy,p@1,p@2,p@5,avg p@5,avg p@10,avg p@20,avg p@30,r@30
betweenness avg,0.80,0.90,0.72,0.91,0.85,0.73,0.69,0.48
betweenness std,0.45,0.22,0.18,0.06,0.11,0.11,0.07,0.08
closeness avg,1.00,1.00,0.96,0.99,0.88,0.77,0.72,0.51
closeness std,0.00,0.00,0.09,0.02,0.06,0.08,0.03,0.07
degree avg,1.00,1.00,0.92,0.98,0.95,0.90,0.80,0.66
degree std,0.00,0.00,0.11,0.02,0.05,0.05,0.08,0.13
eigenvector avg,1.00,1.00,0.96,0.99,0.86,0.79,0.74,0.54
eigenvector std,0.00,0.00,0.09,0.02,0.07,0.04,0.02,0.05
indegree avg,1.00,1.00,0.96,0.99,0.86,0.79,0.72,0.53
indegree std,0.00,0.00,0.09,0.02,0.07,0.07,0.05,0.08
instrength avg,1.00,1.00,0.96,0.99,0.95,0.86,0.79,0.63
instrength std,0.00,0.00,0.09,0.02,0.07,0.06,0.03,0.04
outdegree avg,1.00,1.00,0.96,0.99,0.95,0.81,0.72,0.53
outdegree std,0.00,0.00,0.09,0.02,0.01,0.09,0.11,0.15
outstrength avg,1.00,1.00,0.88,0.97,0.96,0.84,0.79,0.64
outstrength std,0.00,0.00,0.18,0.06,0.02,0.04,0.05,0.11
pagerank avg,1.00,0.80,0.68,0.86,0.88,0.75,0.68,0.47
pagerank std,0.00,0.27,0.30,0.15,0.06,0.05,0.08,0.11
strength avg,1.00,1.00,0.88,0.98,0.93,0.86,0.77,0.61
strength std,0.00,0.00,0.11,0.02,0.07,0.06,0.09,0.14
summation_strategy avg,1.00,1.00,0.76,0.93,0.90,0.82,0.71,0.51
summation_strategy std,0.00,0.00,0.17,0.06,0.06,0.03,0.06,0.07
