node_id	score	type
189	110.0	mushroom
36	42.0	mushroom
8	38.0	mushroom
211	30.0	normal
185	-28.0	normal
134	-23.0	normal
155	-17.0	normal
190	-17.0	ghost
152	14.0	normal
7	-12.0	normal
88	-11.0	normal
136	-11.0	normal
77	-10.0	normal
122	10.0	normal
178	-10.0	normal
183	-10.0	normal
186	-10.0	normal
70	-9.0	normal
117	9.0	normal
123	9.0	normal
160	-9.0	normal
33	-8.0	mushroom
55	-8.0	normal
132	-8.0	normal
35	-7.0	normal
64	-7.0	normal
112	7.0	normal
130	7.0	normal
170	-7.0	normal
176	7.0	normal
